,sentence,acronyms,type,expansions,expanded
0,"The HR team is responsible for recruitment, training and employee relations.",['HR'],Simple,['Human Resources'],"The Human Resources team is responsible for recruitment, training and employee relations."
1,"Reporting to the HR Director, the HR Manager will be responsible for the overall HR department.",['HR'],Simple,['Human Resources'],"Reporting to the Human Resources Director, the Human Resources Manager will be responsible for the overall Human Resources department."
2,We need to ensure we continue to stay compliant with the latest HR regulations.,['HR'],Simple,['Human Resources'],We need to ensure we continue to stay compliant with the latest Human Resources regulations.
3,Our HR department has taken steps to introduce wellbeing initiatives for employees.,['HR'],Simple,['Human Resources'],Our Human Resources department has taken steps to introduce wellbeing initiatives for employees.
4,The HR manager is leading a series of stakeholder workshops to discuss the upcoming changes.,['HR'],Simple,['Human Resources'],The Human Resources manager is leading a series of stakeholder workshops to discuss the upcoming changes.
6,We are now tracking KPI performance data to measure employee productivity.,['KPI'],Simple,['Key Performance Indicator'],We are now tracking Key Performance Indicator performance data to measure employee productivity.
7,We must ensure that employees understand their individual KPI goals in order to maximize performance.,['KPI'],Simple,['Key Performance Indicator'],We must ensure that employees understand their individual Key Performance Indicator goals in order to maximize performance.
8,"By using KPI analysis, we can identify high-potential employees for succession planning and development",['KPI'],Simple,['Key Performance Indicator'],"By using Key Performance Indicator analysis, we can identify high-potential employees for succession planning and development"
9,KPI analysis is the key to understanding employee engagement and job satisfaction levels.,['KPI'],Simple,['Key Performance Indicator'],Key Performance Indicator analysis is the key to understanding employee engagement and job satisfaction levels.
10,Our PMS system keeps track of all employee leave records and entitlements.,['PMS'],Simple,['Performance Management System'],Our Performance Management System system keeps track of all employee leave records and entitlements.
15,Our L&D team has used innovative e-learning techniques to ensure all our employees understand their roles and responsibilities well.,['L&D'],Simple,['Learning and Development'],Our Learning and Development team has used innovative e-learning techniques to ensure all our employees understand their roles and responsibilities well.
16,Regular seminars conducted by L&D help create a feeling of professional satisfaction and success among our employees.,['L&D'],Simple,['Learning and Development'],Regular seminars conducted by Learning and Development help create a feeling of professional satisfaction and success among our employees.
17,We organize L&D workshops focused on stress management and time management strategies to enhance employees’ work-life balance.,['L&D'],Simple,['Learning and Development'],We organize Learning and Development workshops focused on stress management and time management strategies to enhance employees’ work-life balance.
18,All staff must complete an orientation program provided by L&D to ensure they are aware of the challenges and opportunities presented by the organization.,['L&D'],Simple,['Learning and Development'],All staff must complete an orientation program provided by Learning and Development to ensure they are aware of the challenges and opportunities presented by the organization.
